Part,Chapter,Global,Words
1,1,1,173
1,2,2,721
1,3,3,780
1,4,4,715
1,5,5,2121
1,6,6,1379
1,7,7,365
1,8,8,2575
1,9,9,1007
1,10,10,2089
1,11,11,5637
1,12,12,508
1,13,13,1960
1,14,14,794
1,15,15,1026
1,16,16,1132
1,17,17,1790
1,18,18,2121
1,19,19,789
1,20,20,2966
1,21,21,1464
1,22,22,1443
1,23,23,2343
1,24,24,571
1,25,25,1632
1,26,26,68
1,27,27,4835
1,28,28,1725
1,29,29,2440
1,30,30,256
1,31,31,217
1,32,32,2222
1,33,33,105
2,1,34,3517
2,2,35,4527
2,3,36,3922
2,4,37,1130
2,5,38,619
2,6,39,1039
2,7,40,607
2,8,41,1763
2,9,42,1022
2,10,43,231
2,11,44,1956
2,12,45,571
2,13,46,980
2,14,47,2076
2,15,48,609
2,16,49,2207
2,17,50,462
2,18,51,2052
2,19,52,2774
2,20,53,2566
2,21,54,766
2,22,55,3398
2,23,56,1776
2,24,57,520
2,25,58,1337
2,26,59,2098
2,27,60,1292
2,28,61,980
2,29,62,4374
2,30,63,574
2,31,64,271
2,32,65,1610
2,33,66,1771
2,34,67,440
2,35,68,4359
2,36,69,1456
